0,1,2,3
Senin - Minggu (16:00 - 24:00),,021 72787111,"4.4,4.6,4.0,4.6,4.2"
Senin - Minggu (06:00 - 23:00),,021 80630888,"4.1,4.3,3.9,4.4,4.2"
"Senin - Jumat (08:00 - 23:00), Sabtu - Minggu (07:00 - 23:00)",,081997745662,"4.8,3.9,4.9,4.6,4.3"
Senin - Minggu (12:00 - 21:00),,081331756343,"4.3,4.1,3.9,4.4,4.4"
Senin - Minggu (10:00 - 21:00),,021 5725088,"4.1,4.3,4.1,4.1,4.0"
Senin - Minggu (10:00 - 22:00),,021 56985190,"4.2,4.5,3.8,4.4,4.2"
"Senin - Jumat (10:00 - 22:00), Sabtu (10:00 - 23:00), Minggu (10:00 - 22:00)",,085880868210,"4.4,4.3,4.6,4.3,4.3"
"Senin - Jumat (11:00 - 21:00), Sabtu - Minggu (10:00 - 21:00)",,022 4223181,"4.8,4.2,3.5,4.4,4.5"
Senin - Minggu (10:00 - 22:00),,082123833110,"4.4,4.1,3.6,4.0,4.3"
Senin - Minggu (11:00 - 21:00),,081990138999,"4.6,4.8,4.6,4.8,4.8"
"Senin - Kamis (10:00 - 20:00), Jumat - Minggu (10:00 - 21:00)",,021 27939193,"4.2,4.3,3.7,4.2,4.3"
Senin - Minggu (08:00 - 21:00),,031 7310010,"4.7,4.7,4.5,4.5,4.5"
"Selasa - Minggu (09:00 - 21:00), Senin Tutup",,087788142999,"4.3,4.3,4.3,4.3,4.3"
Senin - Minggu (09:00 - 18:00),,087720667326,"4.1,4.1,4.3,4.3,4.3"
Senin - Minggu (10:00 - 21:00),,021 29419075,"4.2,4.3,3.9,3.9,4.1"
"Senin - Jumat (09:00 - 21:00), Sabtu - Minggu (07:00 - 21:00)",,087878770910,"4.1,4.2,3.9,4.4,4.3"
Senin - Minggu (08:00 - 20:00),,081386036021,"4.3,4.4,3.7,4.4,4.2"
Senin - Minggu (10:00 - 22:00),,021 23581265,"4.5,3.9,4.1,4.1,4.1"
"Senin - Jumat (10:00 - 22:00), Sabtu (10:00 - 22:30), Minggu (10:00 - 22:00)",,021 2295 6067,"4.6,4.0,4.3,4.4,3.4"
Senin - Minggu (10:00 - 22:00),,081338000830,"4.4,4.1,4.5,4.1,4.5"
Senin - Minggu (10:00 - 22:00),,021 29864959,"4.7,4.2,3.9,4.1,4.3"
Senin - Minggu (10:00 - 21:00),,021 66676501,"4.3,4.2,4.1,4.3,4.3"
"Senin - Minggu (11:30 - 15:00, 17:30 - 22:00)",,021 29023271,"4.5,4.1,3.6,4.2,4.3"
"Senin - Kamis (09:00 - 22:00), Jumat (13:00 - 22:00), Sabtu (09:00 - 22:00), Minggu Tutup",,031 5682074 ,"4.3,4.3,3.9,3.8,4.2"
Senin - Minggu (12:00 - 22:00),,031 51163366,"5.0,5.0,4.5,5.0,4.8"
Senin - Minggu (06:00 - 22:00),,031 5468000,"5.0,5.0,4.3,5.0,5.0"
Senin - Minggu (11:30 - 21:00),,021 23583871,"4.4,4.2,3.5,4.2,4.3"
Senin - Minggu (08:00 - 20:00),,081388776890,"4.4,4.3,4.4,4.4,4.3"
